population,treatment,replicate,tag,date,doy,l1_total_length,l1_green_length,l2_total_length,l2_green_length,l3_total_length,l3_green_length,l4_total_length,l4_green_length,l5_total_length,l5_green_length,l6_total_length,l6_green_length,tiller_total_green_length,avg_green_leaf_length,tiller_pct_green
SG,Wet,3,SG 2-3,8/20/17,232,8,3,11.5,9,12,12,7,7,5.5,5.5,NA,NA,36.5,7.3,0.83
SG,Wet,3,SG 2-3,9/2/17,245,8,0,11.5,0,12,2,7,5,5.5,2.5,NA,NA,9.5,1.9,0.22
SG,Wet,3,SG 2-3,9/11/17,254,8,0,11.5,0,12,3,7,4,5.5,2.5,NA,NA,9.5,1.9,0.22
SG,Dry,1,SG 1-1,7/15/17,196,12.5,4,9,3.5,9,7,4,4,NA,NA,NA,NA,18.5,4.63,0.54
SG,Dry,1,SG 1-1,7/26/17,207,12.5,3,9,3.5,9,7,4,4,NA,NA,NA,NA,17.5,4.38,0.51
SG,Dry,1,SG 1-1,8/4/17,216,12.5,3,9,2,9,8,4,4,NA,NA,NA,NA,17,4.25,0.49
SG,Dry,1,SG 1-1,8/12/17,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SG,Dry,1,SG 1-1,8/20/17,232,12.5,0,9,2,9,8,4,4,NA,NA,NA,NA,14,3.5,0.41
SG,Dry,1,SG 1-1,9/2/17,245,12.5,0,9,2,9,7.5,4,0,NA,NA,NA,NA,9.5,2.38,0.28
SG,Dry,1,SG 1-1,9/11/17,254,12.5,0,9,2,9,5,4,0,NA,NA,NA,NA,7,1.75,0.2
SG,Dry,3,SG 1-3,7/15/17,196,11,3,8,7.5,11,11,3,3,NA,NA,NA,NA,24.5,6.13,0.74
SG,Dry,3,SG 1-3,7/26/17,207,11,3,8,7.5,11,11,5,5,NA,NA,NA,NA,26.5,6.63,0.76
SG,Dry,3,SG 1-3,8/4/17,216,11,3,8,7,11,11,6,6,2.5,2.5,NA,NA,29.5,5.9,0.77
SG,Dry,3,SG 1-3,8/12/17,224,11,3,8,7,11,1,7,7,4,4,NA,NA,22,4.4,0.54
SG,Dry,3,SG 1-3,8/20/17,232,11,3,8,6.5,11,7.5,7,7,4,4,NA,NA,28,5.6,0.68
SG,Dry,3,SG 1-3,9/2/17,245,11,0,8,0,11,5,7,5.5,3,3,NA,NA,13.5,2.7,0.34
SG,Dry,3,SG 1-3,9/11/17,254,11,0,8,0,11,0,7,4,3,3,NA,NA,7,1.4,0.18
SG,Dry,4,SG 1-4,7/15/17,196,18,3,12.5,9,21,21,10.5,10.5,NA,NA,NA,NA,43.5,10.88,0.7
SG,Dry,4,SG 1-4,7/26/17,207,18,3,13,9,21,21,12.5,12.5,14,14,NA,NA,59.5,11.9,0.76
SG,Dry,4,SG 1-4,8/4/17,216,18,3,13,9,21,21,19.5,19.5,2,2,NA,NA,54.5,10.9,0.74
SG,Dry,4,SG 1-4,8/12/17,224,18,2,20,19.5,15,15,4,4,2,2,NA,NA,42.5,8.5,0.72
SG,Dry,4,SG 1-4,8/20/17,232,18,0,11.5,8,4,4,14.5,14.5,19.5,19.5,NA,NA,46,9.2,0.68
