population,treatment,replicate,tag,date,curve_id,obs,photo_umol_m2_s,cond_mol_m2_s,ci_umol_mol,trans_mmol_m2_s,vpd_kpa,tleaf_c,tblock_c,tair_c,co2_ref_umol_mol,co2_sample_umol_mol,par_umol_m2_s,press_kpa,leaf_area_cm2
SG,Deep,4,SG 3-4,17802,SG 3-4_17802,86,11.07712479,0.171170279,276.7726812,3.664651661,2.017864012,23.9215126,15.03549576,15.51761246,399.9488525,395.5679016,1500.928833,92.77864075,1.05
SG,Deep,4,SG 3-4,17802,SG 3-4_17802,87,17.17360412,0.167841933,406.4350251,3.598027551,2.018984511,23.89978409,15.03670502,15.51484776,599.800354,593.0479736,1500.912842,92.77213287,1.05
SG,Deep,4,SG 3-4,17802,SG 3-4_17802,88,21.77658906,0.165462765,550.6494624,3.558990845,2.024694093,23.91896057,15.03551865,15.51868153,800.260498,791.6604004,1500.651978,92.76950836,1.05
SG,Deep,4,SG 3-4,17802,SG 3-4_17802,89,26.26950382,0.163191323,695.1065915,3.510966327,2.024189209,23.90010071,15.0344162,15.51791668,1000.953369,990.5513916,1500.63269,92.76630402,1.05
SG,Deep,4,SG 3-4,17802,SG 3-4_17802,90,29.48953808,0.163597389,854.7078001,3.51050198,2.019099446,23.87459373,15.03548622,15.51660633,1200.001465,1188.230957,1500.589111,92.76546478,1.05
CF,Deep,4,CF 3-4,17802,CF 3-4_17802,91,3.342817277,0.183145381,357.3279477,3.012351657,1.558957799,21.37400436,15.03667736,15.52240086,399.9072876,397.8656006,1500.520996,92.76343536,1.35
CF,Deep,4,CF 3-4,17802,CF 3-4_17802,92,1.662621677,0.169411357,274.7571323,2.858042811,1.594095396,21.56370735,15.03807735,15.52079201,300.1088257,298.9770813,1500.338989,92.76912689,1.35
CF,Deep,4,CF 3-4,17802,CF 3-4_17802,93,-0.011039348,0.159434056,194.3822608,2.734565279,1.617105545,21.67861366,15.03755093,15.52603722,200.0861816,199.8454437,1500.668579,92.77452087,1.35
CF,Deep,4,CF 3-4,17802,CF 3-4_17802,94,-1.168433651,0.152660747,110.3283465,2.640846464,1.628492743,21.72662735,15.03742218,15.52475357,100.3198166,100.7256317,1500.88269,92.77342224,1.35
CF,Deep,4,CF 3-4,17802,CF 3-4_17802,95,-1.072407855,0.14859993,62.07733293,2.571017515,1.627505558,21.68234825,15.03736782,15.52364826,51.39598465,51.81827164,1500.079346,92.77819061,1.35
CF,Deep,4,CF 3-4,17802,CF 3-4_17802,96,1.604512469,0.14412274,369.5686089,2.490362056,1.624093926,21.61201286,15.03787994,15.52560329,399.9695435,398.8015747,1500.424316,92.78410339,1.35
CF,Deep,4,CF 3-4,17802,CF 3-4_17802,97,3.106467537,0.141921476,545.5933899,2.449721899,1.621736866,21.57089233,15.03667736,15.53059006,599.8649292,597.8096313,1500.665161,92.78742218,1.35
CF,Deep,4,CF 3-4,17802,CF 3-4_17802,98,4.236825589,0.140369759,726.629036,2.422038522,1.620696897,21.54787636,15.03649616,15.53223991,800.6367798,797.862793,1500.718994,92.79084015,1.35
CF,Deep,4,CF 3-4,17802,CF 3-4_17802,99,5.427648739,0.138538712,905.6915343,2.387486816,1.618113649,21.51781654,15.03696918,15.53238487,1000.519592,997.008606,1500.816895,92.79164124,1.35
CF,Deep,4,CF 3-4,17802,CF 3-4_17802,100,6.011769914,0.139169167,1092.649707,2.381617698,1.607153912,21.44472313,15.03728676,15.52853394,1199.803467,1195.820313,1501.152832,92.79166412,1.35
TL,Deep,3,TL 3-3,17802,TL 3-3_17802,101,10.26186609,0.136457143,257.2870393,3.69115795,2.523056612,26.86108589,15.04119015,15.69777107,399.9436035,395.2591248,1500.737427,92.78927612,1.2
TL,Deep,3,TL 3-3,17802,TL 3-3_17802,102,6.860097351,0.129263819,198.3650589,3.607865995,2.598164989,27.22985077,15.04178238,15.77527237,299.8874817,296.7177429,1500.998291,92.79064941,1.2
TL,Deep,3,TL 3-3,17802,TL 3-3_17802,103,3.527058341,0.121712599,142.6576122,3.481598845,2.657527837,27.50350571,15.03911972,15.84456539,199.7737732,198.0886078,1501.36499,92.78992462,1.2
TL,Deep,3,TL 3-3,17802,TL 3-3_17802,104,0.467664987,0.115778222,88.65294299,3.37919165,2.707343196,27.72854042,15.03973389,15.90787601,100.0785904,99.75692749,1501.056885,92.79019928,1.2
TL,Deep,3,TL 3-3,17802,TL 3-3_17802,105,-1.386395887,0.108345238,68.35941659,3.222628814,2.754095662,27.9335804,15.04127121,15.97244263,49.85322952,50.342521669999996,1501.495361,92.796875,1.2
TL,Deep,3,TL 3-3,17802,TL 3-3_17802,106,9.358090895,0.101966076,230.1333687,3.056454066,2.77157827,27.99330902,15.03913593,16.05215454,399.3656921,395.1430664,1500.18335,92.80011749,1.2
TL,Deep,3,TL 3-3,17802,TL 3-3_17802,107,15.07235204,0.099144234,323.0935279,2.980100952,2.777551652,28.0149498,15.04060936,16.10420609,600.1594849,593.4291992,1500.067871,92.80249786,1.2
TL,Deep,3,TL 3-3,17802,TL 3-3_17802,108,19.37911601,0.09726204,435.7317681,2.931892949,2.78415833,28.0424881,15.04128075,16.15007782,799.2870483,790.6151123,1499.828857,92.79908752,1.2
TL,Deep,3,TL 3-3,17802,TL 3-3_17802,109,24.38856747,0.094454303,531.5595222,2.870897907,2.805100204,28.14055824,15.05668259,16.21250534,1000.740601,989.8568115,1500.126221,92.79610443,1.2
TL,Deep,3,TL 3-3,17802,TL 3-3_17802,110,28.80292037,0.092410771,634.302978,2.822673339,2.8173838,28.20361519,15.25788307,16.3850975,1200.009521,1187.157959,1499.685059,92.79380035,1.2
SG,Deep,1,SG 3-1,17802,SG 3-1_17802,111,7.841932254,0.10803611,265.0751352,2.487270249,2.13725558,25.34409523,15.03687954,15.5675745,400.0609131,396.092041,1498.713135,92.7820282,1.35
SG,Deep,1,SG 3-1,17802,SG 3-1_17802,112,5.048627484,0.102829521,207.5333424,2.43867237,2.198290085,25.65359497,15.03564835,15.57159519,300.0318604,297.4353638,1499.113403,92.78033447,1.35
SG,Deep,1,SG 3-1,17802,SG 3-1_17802,113,2.363520718,0.096789642,151.939406,2.356451596,2.253094823,25.91561699,15.0349369,15.57231331,199.9784698,198.7052917,1499.013062,92.78052521,1.35
SG,Deep,1,SG 3-1,17802,SG 3-1_17802,114,-0.059969987,0.09084398,97.21452121,2.254559156,2.293289434,26.08955193,15.03596687,15.56766224,100.2015915,100.1270447,1499.468262,92.77826691,1.35
