population,treatment,replicate,tag,date,doy,ndvi,lai,biomass_g
TL,Wet,5,TL 2-5,7/31/17,212,0.59,2.737218072652074,0.5907496664735727
TL,Wet,6,TL 2-6,7/31/17,212,0.71,6.854751782652693,1.1185543274854868
TL,Dry,1,TL 1-1,7/31/17,212,0.57,2.3488881832220447,0.531122319445733
TL,Dry,2,TL 1-2,7/31/17,212,0.29,0.27580590667960414,0.11974833730608354
TL,Dry,3,TL 1-3,7/31/17,212,0.49,1.273720445681124,0.34702344811611796
TL,Dry,4,TL 1-4,7/31/17,212,0.37,0.508618070204669,0.18327584203617128
TL,Dry,5,TL 1-5,7/31/17,212,0.59,2.737218072652074,0.5907496664735727
TL,Dry,6,TL 1-6,7/31/17,212,0.55,2.0156507632344045,0.47751346166191155
TL,Deep,1,TL 3-1,7/31/17,212,0.4,0.6398267148608073,0.21499017974621845
TL,Deep,2,TL 3-2,7/31/17,212,0.43,0.8048833673660827,0.25219241594420944
TL,Deep,3,TL 3-3,7/31/17,212,0.34,0.4043162552145069,0.156239853902715
TL,Deep,4,TL 3-4,7/31/17,212,0.54,1.8672039587106786,0.4527736589435233
TL,Deep,5,TL 3-5,7/31/17,212,0.46,1.012519827659118,0.29583218514842796
TL,Deep,6,TL 3-6,7/31/17,212,0.39,0.592705341951152,0.2038516149509959
SG,Wet,1,SG 2-1,7/31/17,212,0.54,1.8672039587106786,0.4527736589435233
SG,Wet,2,SG 2-2,7/31/17,212,0.67,5.047747492438297,0.904147355956908
SG,Wet,3,SG 2-3,7/31/17,212,0.68,5.449054474356078,0.9535504667008488
SG,Wet,4,SG 2-4,7/31/17,212,0.6,2.9548329048583892,0.623028554425252
SG,Wet,5,SG 2-5,7/31/17,212,0.69,5.882266240333915,1.0056529906931913
SG,Wet,6,SG 2-6,7/31/17,212,0.6,2.9548329048583892,0.623028554425252
SG,Dry,1,SG 1-1,7/31/17,212,0.35,0.43646028309298035,0.1647768857859789
SG,Dry,2,SG 1-2,7/31/17,212,0.43,0.8048833673660827,0.25219241594420944
